chrom	chromStart	chromEnd	name	score	strand	thickStart	thickEnd	reserved	evidenceSources	elementType	eliteness
chr1	1373154	1377091	GH01J001373	602	.	1373154	1377091	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	1397375	1402851	GH01J001397	595	.	1397375	1402851	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	1405250	1408848	GH01J001405	588	.	1405250	1408848	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	1419999	1420601	GH01J001421	211	.	1419999	1420601	255,102,102	ENCODE(Z-Lab),Ensembl	Promoter/Enhancer	Elite
chr1	1420676	1423691	GH01J001420	382	.	1420676	1423691	255,51,51	ENCODE(Z-Lab),EPDnew	Promoter/Enhancer	Elite
chr1	1425445	1426343	GH01J001425	213	.	1425445	1426343	95,95,95	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	1428217	1436401	GH01J001428	733	.	1428217	1436401	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,FANTOM5,dbSUPER	Promoter/Enhancer	Elite
chr1	1437590	1438733	GH01J001437	269	.	1437590	1438733	95,95,95	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	1440580	1441665	GH01J001440	291	.	1440580	1441665	95,95,95	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	1461617	1463028	GH01J001461	397	.	1461617	1463028	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	1470213	1473201	GH01J001470	570	.	1470213	1473201	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	1504480	1506388	GH01J001504	312	.	1504480	1506388	95,95,95	ENCODE(Z-Lab),Ensembl	Enhancer	Elite
chr1	1510600	1513211	GH01J001510	589	.	1510600	1513211	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	1573068	1576192	GH01J001573	583	.	1573068	1576192	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	1610397	1612288	GH01J001610	161	.	1610397	1612288	160,160,160	ENCODE(Z-Lab),Ensembl	Enhancer	Elite
chr1	1613435	1617379	GH01J001613	578	.	1613435	1617379	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	1624487	1638840	GH01J001624	476	.	1624487	1638840	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	1658199	1660052	GH01J001658	629	.	1658199	1660052	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	1660800	1663401	GH01J001660	194	.	1660800	1663401	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
chr1	1691599	1694001	GH01J001691	623	.	1691599	1694001	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	1744999	1747201	GH01J001745	619	.	1744999	1747201	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	1763639	1765393	GH01J001763	307	.	1763639	1765393	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
chr1	1775224	1783826	GH01J001775	723	.	1775224	1783826	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,FANTOM5,dbSUPER	Promoter/Enhancer	Elite
chr1	1880697	1882667	GH01J001880	178	.	1880697	1882667	95,95,95	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	1888048	1897969	GH01J001888	697	.	1888048	1897969	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	1906055	1910318	GH01J001906	507	.	1906055	1910318	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	1913725	1921421	GH01J001913	617	.	1913725	1921421	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	1942470	1944650	GH01J001942	315	.	1942470	1944650	95,95,95	ENCODE(Z-Lab),Ensembl	Enhancer	Elite
chr1	2045684	2054444	GH01J002045	693	.	2045684	2054444	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,FANTOM5,dbSUPER	Promoter/Enhancer	Elite
chr1	2069623	2073970	GH01J002069	301	.	2069623	2073970	255,102,102	ENCODE(Z-Lab),EPDnew	Promoter/Enhancer	Elite
chr1	2112044	2113241	GH01J002112	98	.	2112044	2113241	160,160,160	ENCODE(Z-Lab),Ensembl	Enhancer	Elite
chr1	2115495	2116462	GH01J002115	98	.	2115495	2116462	160,160,160	ENCODE(Z-Lab),Ensembl	Enhancer	Elite
chr1	2131985	2141131	GH01J002131	534	.	2131985	2141131	255,51,51	ENCODE(Z-Lab),Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	2173430	2175279	GH01J002173	248	.	2173430	2175279	95,95,95	ENCODE(Z-Lab),Ensembl	Enhancer	Elite
chr1	2188838	2191465	GH01J002188	371	.	2188838	2191465	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
chr1	2191775	2196541	GH01J002191	693	.	2191775	2196541	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	2203162	2210909	GH01J002203	452	.	2203162	2210909	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	2211883	2215712	GH01J002211	459	.	2211883	2215712	255,51,51	ENCODE(Z-Lab),Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	2226395	2236292	GH01J002226	747	.	2226395	2236292	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,FANTOM5,dbSUPER	Promoter/Enhancer	Elite
chr1	2239685	2241010	GH01J002239	370	.	2239685	2241010	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	2245800	2252422	GH01J002245	417	.	2245800	2252422	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	2253191	2259591	GH01J002253	441	.	2253191	2259591	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	2269999	2271967	GH01J002270	306	.	2269999	2271967	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
chr1	2271999	2272601	GH01J002272	205	.	2271999	2272601	95,95,95	Ensembl,dbSUPER	Enhancer	Elite
chr1	2272857	2280511	GH01J002273	306	.	2272857	2280511	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
chr1	2288571	2293482	GH01J002288	425	.	2288571	2293482	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	2298666	2302951	GH01J002298	419	.	2298666	2302951	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	2304551	2305857	GH01J002304	178	.	2304551	2305857	95,95,95	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	2309443	2319866	GH01J002309	436	.	2309443	2319866	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	2389859	2396389	GH01J002389	633	.	2389859	2396389	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	2403815	2407882	GH01J002403	192	.	2403815	2407882	95,95,95	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	2411554	2417307	GH01J002411	694	.	2411554	2417307	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	2430100	2431153	GH01J002430	192	.	2430100	2431153	95,95,95	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	2475049	2475442	GH01J002475	200	.	2475049	2475442	95,95,95	FANTOM5,dbSUPER	Enhancer	Elite
chr1	2477592	2478551	GH01J002477	167	.	2477592	2478551	95,95,95	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	2522843	2530166	GH01J002522	623	.	2522843	2530166	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	2532784	2536119	GH01J002532	297	.	2532784	2536119	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
chr1	2543334	2550837	GH01J002543	595	.	2543334	2550837	204,0,0	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Promoter/Enhancer	Elite
chr1	2574362	2579599	GH01J002574	481	.	2574362	2579599	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	2580822	2588004	GH01J002580	633	.	2580822	2588004	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	2594000	2594400	GH01J002594	144	.	2594000	2594400	160,160,160	Ensembl,dbSUPER	Enhancer	Elite
chr1	2610256	2611934	GH01J002610	208	.	2610256	2611934	95,95,95	ENCODE(Z-Lab),Ensembl	Enhancer	Elite
chr1	2631083	2633767	GH01J002631	306	.	2631083	2633767	255,102,102	ENCODE(Z-Lab),EPDnew	Promoter/Enhancer	Elite
chr1	2640939	2644129	GH01J002640	403	.	2640939	2644129	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5	Enhancer	Elite
chr1	3065810	3075194	GH01J003065	652	.	3065810	3075194	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,FANTOM5,dbSUPER	Promoter/Enhancer	Elite
chr1	3169116	3173123	GH01J003169	375	.	3169116	3173123	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	3195204	3195425	GH01J003195	78	.	3195204	3195425	160,160,160	FANTOM5,dbSUPER	Enhancer	Elite
chr1	3217326	3217719	GH01J003217	88	.	3217326	3217719	160,160,160	FANTOM5,dbSUPER	Enhancer	Elite
chr1	3218099	3223778	GH01J003218	380	.	3218099	3223778	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	3274016	3274864	GH01J003274	249	.	3274016	3274864	95,95,95	UCNEbase,VISTA,dbSUPER	Enhancer	Elite
chr1	3306656	3307680	GH01J003306	161	.	3306656	3307680	160,160,160	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	3311884	3315687	GH01J003311	460	.	3311884	3315687	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	3316247	3316302	GH01J003316	126	.	3316247	3316302	160,160,160	FANTOM5,dbSUPER	Enhancer	Elite
chr1	3345528	3356340	GH01J003345	554	.	3345528	3356340	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,VISTA,dbSUPER	Enhancer	Elite
chr1	3373706	3374026	GH01J003373	103	.	3373706	3374026	160,160,160	FANTOM5,dbSUPER	Enhancer	Elite
chr1	3393013	3394796	GH01J003393	387	.	3393013	3394796	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	3453236	3462028	GH01J003453	603	.	3453236	3462028	204,0,0	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Promoter/Enhancer	Elite
chr1	3470608	3472531	GH01J003470	506	.	3470608	3472531	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	3479202	3483607	GH01J003479	244	.	3479202	3483607	95,95,95	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	3529132	3532046	GH01J003529	559	.	3529132	3532046	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	3538200	3538800	GH01J003538	215	.	3538200	3538800	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
chr1	3538843	3541201	GH01J003539	229	.	3538843	3541201	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
chr1	3541569	3549725	GH01J003541	373	.	3541569	3549725	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	3595721	3599911	GH01J003595	279	.	3595721	3599911	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5	Enhancer	Elite
chr1	3618628	3619785	GH01J003618	411	.	3618628	3619785	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	3623408	3626484	GH01J003623	570	.	3623408	3626484	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	3649291	3650706	GH01J003649	550	.	3649291	3650706	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	3664175	3668153	GH01J003664	282	.	3664175	3668153	95,95,95	ENCODE(Z-Lab),FANTOM5	Enhancer	Elite
chr1	3671388	3675753	GH01J003671	325	.	3671388	3675753	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5	Enhancer	Elite
chr1	3676414	3679600	GH01J003676	359	.	3676414	3679600	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5	Enhancer	Elite
chr1	3687984	3691697	GH01J003687	443	.	3687984	3691697	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl,FANTOM5	Promoter/Enhancer	Elite
chr1	3695293	3697091	GH01J003695	202	.	3695293	3697091	95,95,95	ENCODE(Z-Lab),Ensembl	Enhancer	Elite
chr1	3746000	3747986	GH01J003746	376	.	3746000	3747986	255,51,51	ENCODE(Z-Lab),Ensembl	Promoter/Enhancer	Elite
chr1	3771633	3776875	GH01J003771	643	.	3771633	3776875	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	3795085	3797526	GH01J003795	579	.	3795085	3797526	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	3856199	3858381	GH01J003856	571	.	3856199	3858381	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	3880866	3881712	GH01J003880	63	.	3880866	3881712	192,192,192	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	3882700	3884516	GH01J003882	98	.	3882700	3884516	160,160,160	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	3889099	3891938	GH01J003889	167	.	3889099	3891938	95,95,95	ENCODE(Z-Lab),Ensembl	Enhancer	Elite
chr1	3899116	3901831	GH01J003899	752	.	3899116	3901831	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,FANTOM5,dbSUPER	Promoter/Enhancer	Elite
chr1	4668382	4670223	GH01J004668	73	.	4668382	4670223	160,160,160	ENCODE(Z-Lab),FANTOM5	Enhancer	Elite
chr1	4675600	4675750	GH01J004675	63	.	4675600	4675750	192,192,192	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	4676209	4676473	GH01J004676	71	.	4676209	4676473	160,160,160	FANTOM5,dbSUPER	Enhancer	Elite
chr1	5896500	5898012	GH01J005896	155	.	5896500	5898012	160,160,160	ENCODE(Z-Lab),FANTOM5	Enhancer	Elite
chr1	5975400	5976200	GH01J005975	199	.	5975400	5976200	95,95,95	Ensembl,dbSUPER	Enhancer	Elite
chr1	5980108	5981325	GH01J005980	318	.	5980108	5981325	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
chr1	5990872	5995461	GH01J005990	731	.	5990872	5995461	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,FANTOM5,dbSUPER	Promoter/Enhancer	Elite
chr1	6008964	6010473	GH01J006008	205	.	6008964	6010473	95,95,95	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	6024699	6030017	GH01J006024	704	.	6024699	6030017	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,FANTOM5,dbSUPER	Promoter/Enhancer	Elite
chr1	6034200	6034852	GH01J006034	226	.	6034200	6034852	95,95,95	Ensembl,dbSUPER	Enhancer	Elite
chr1	6127377	6129417	GH01J006127	248	.	6127377	6129417	95,95,95	ENCODE(Z-Lab),Ensembl	Enhancer	Elite
chr1	6170641	6172200	GH01J006170	229	.	6170641	6172200	95,95,95	Ensembl,FANTOM5	Enhancer	Elite
chr1	6197741	6200945	GH01J006197	587	.	6197741	6200945	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	6204260	6207175	GH01J006204	642	.	6204260	6207175	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	6208606	6209838	GH01J006208	350	.	6208606	6209838	255,102,102	ENCODE(Z-Lab),Ensembl	Promoter/Enhancer	Elite
chr1	6218985	6221891	GH01J006218	226	.	6218985	6221891	95,95,95	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	6222046	6223678	GH01J006222	98	.	6222046	6223678	160,160,160	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	6223972	6225851	GH01J006223	133	.	6223972	6225851	160,160,160	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	6233274	6236706	GH01J006233	562	.	6233274	6236706	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	6238036	6242725	GH01J006238	322	.	6238036	6242725	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
chr1	6244779	6246696	GH01J006244	483	.	6244779	6246696	255,51,51	ENCODE(Z-Lab),Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	6259680	6264315	GH01J006259	670	.	6259680	6264315	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,FANTOM5,dbSUPER	Promoter/Enhancer	Elite
chr1	6275546	6277685	GH01J006275	355	.	6275546	6277685	95,95,95	ENCODE(Z-Lab),Ensembl,FANTOM5,dbSUPER	Enhancer	Elite
chr1	6281146	6283232	GH01J006281	296	.	6281146	6283232	95,95,95	ENCODE(Z-Lab),FANTOM5,dbSUPER	Enhancer	Elite
chr1	6290071	6292388	GH01J006290	317	.	6290071	6292388	95,95,95	ENCODE(Z-Lab),FANTOM5,dbSUPER	Enhancer	Elite
chr1	6293627	6295795	GH01J006293	251	.	6293627	6295795	95,95,95	ENCODE(Z-Lab),FANTOM5,dbSUPER	Enhancer	Elite
chr1	6299189	6303682	GH01J006299	273	.	6299189	6303682	95,95,95	ENCODE(Z-Lab),FANTOM5,dbSUPER	Enhancer	Elite
chr1	6327962	6332120	GH01J006327	206	.	6327962	6332120	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
chr1	6349876	6351190	GH01J006349	205	.	6349876	6351190	95,95,95	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	6357359	6361604	GH01J006357	527	.	6357359	6361604	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	6362419	6363601	GH01J006362	315	.	6362419	6363601	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
chr1	6384562	6387307	GH01J006384	426	.	6384562	6387307	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	6391995	6394636	GH01J006391	563	.	6391995	6394636	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	6412831	6417164	GH01J006412	290	.	6412831	6417164	95,95,95	ENCODE(Z-Lab),Ensembl	Enhancer	Elite
chr1	6422736	6425891	GH01J006422	437	.	6422736	6425891	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
chr1	6440340	6440601	GH01J006440	328	.	6440340	6440601	255,102,102	ENCODE(Z-Lab),Ensembl	Promoter/Enhancer	Elite
chr1	6445822	6452168	GH01J006445	508	.	6445822	6452168	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	6459439	6462159	GH01J006459	222	.	6459439	6462159	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
chr1	6484999	6487190	GH01J006485	588	.	6484999	6487190	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	6487570	6493544	GH01J006487	685	.	6487570	6493544	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	6500817	6502873	GH01J006500	286	.	6500817	6502873	95,95,95	ENCODE(Z-Lab),Ensembl,dbSUPER	Enhancer	Elite
chr1	6509400	6510200	GH01J006509	213	.	6509400	6510200	95,95,95	Ensembl,dbSUPER	Enhancer	Elite
chr1	6511864	6514499	GH01J006511	222	.	6511864	6514499	95,95,95	ENCODE(Z-Lab),dbSUPER	Enhancer	Elite
chr1	6516986	6520923	GH01J006516	488	.	6516986	6520923	255,51,51	ENCODE(Z-Lab),EPDnew,Ensembl,dbSUPER	Promoter/Enhancer	Elite
chr1	6553014	6555865	GH01J006553	580	.	6553014	6555865	204,0,0	ENCODE(Z-Lab),EPDnew,Ensembl	Promoter/Enhancer	Elite
