title,project_description,keywords,gse,bioproject_id,bioproject_id_cohort,paper,n_samples,notes,timepoints,time_type,doses,human_atlas,human_dataset,vaccine_type,target_pathogen,target_antigen,adjuvanted,sample_source,administration_route,sequencing,organism_name,raw_data_available,train,test,atlas,translational
Comparison of whole blood transcriptional changes induced by menignoccocal capsular group B vaccines in mice,"Whole blood RNA-seq was leveraged to explore gene expression changes induced in mice 24 hours after immunisation with a second dose of a licensed vaccine against capsular group B meningococcus, one of the vaccines components, or one of several comparator groups. Overall design: mRNA was profiled from RNA extracted from mouse whole blood, 3-6 samples per group, using an Illumina HiSeq4000","whole blood, meningococcus B, polysaccharide,",GSE139529,580190,580190_Ad,,65,NA,"Prime-boost for 8 weeks (D28), 24h post final dose of vaccine",,,Yes,None,Viral vector,Meningococcus B,(Ad),No,Blood,Intramuscular,Bulk,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Comparison of whole blood transcriptional changes induced by menignoccocal capsular group B vaccines in mice,"Whole blood RNA-seq was leveraged to explore gene expression changes induced in mice 24 hours after immunisation with a second dose of a licensed vaccine against capsular group B meningococcus, one of the vaccines components, or one of several comparator groups. Overall design: mRNA was profiled from RNA extracted from mouse whole blood, 3-6 samples per group, using an Illumina HiSeq4000","whole blood, meningococcus B, polysaccharide,",GSE139529,580190,580190_MVA,,65,NA,"Prime-boost for 8 weeks (D28), 24h post final dose of vaccine",,,Yes,None,Viral vector,Meningococcus B,(MVA),No,Blood,Intramuscular,Bulk,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Early spatiotemporal evolution of the immune response elicited by adenovirus vector vaccination,"As the first responders to immunological challenges, the innate immune system has the potential to shape and regulate the ensuing adaptive immune response. Many clinical studies evaluating the role of various innate populations in initiating vaccine-elicited immunity have been largely relegated to blood. It is also largely unknown how the immune response to vaccination is initiating and evolving at the earliest time points post-vaccination. We sought to investigate the spatiotemporal evolution of the earliest immune responses to intramuscular adenovirus serotype 26 (Ad26) vector vaccination in blood and tissues. Using transcriptomic profiling, we show that Ad26 vector vaccination elicits broad transcriptomic changes as early as 1 hour post-vaccination across blood and tissues marked by IL-1, TNF-α, and IL-6 pro-inflammatory pathways. Immunologic data reveals an influx of Ly6C+ myeloid cells into muscle by 1 hour post-vaccination. A Ly6C+CD64+ population emerges in muscle and subsequently in the draining lymph node, suggesting that myeloid cells may be significant drivers of vaccine-elicited immune responses following intramuscular vaccination. Moreover, levels of IL-6, MIG, MIP-1α, and MIP-1β measured in serum at 6 hours post-vaccination positively correlated with the frequency of vaccine-elicited CD8+ T cell responses evaluated at 60 days post-vaccination. Taken together, our data suggests that the immune response to Ad26 vector vaccination commences by 1 hour across compartments and that events at as early as 6 hours post-vaccination can shape vaccine-elicited CD8+ T cell responses at memory time points. Overall design: In this study, we evaluated the early spatiotemporal evolution of the immune response following Ad serotype 26 (Ad26) vector vaccination, focusing on the first 24 hours post-vaccination. We evaluated transcriptomic signatures, cytokine and chemokine profiles, and cellular responses at various time points beginning as early as 1 hour post-vaccination to elucidate the induction of the immunological cascade. These studies highlight that the immune response commences by 1 hour and rapidly evolves across blood and tissues within the first 24 hours post-vaccination.","adenovirus, blood, tissues, intramuscular",GSE264344,1102021,1102021_blood,,195,NA,1//3//6//12//24//72,Hour,,Partial?,No,Viral vector,Ad26,Whole,No,Blood,NA,Bulk,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Intranasal administration of adenoviral vaccines expressing SARS-CoV-2 spike protein improves vaccine immunity in mouse models,"Intranasal vaccines can prime or recruit to the respiratory epithelium mucosal immune cells capable of preventing transmission of SARS-CoV-2. We found that a single intranasal dose of serotype 5-based adenoviral vectors expressing either the receptor binding domain (Ad5-RBD) or the complete ectodomain (Ad5-S) of the SARS-CoV-2 spike protein was effective in inducing i) secretory and serum anti-spike IgA and IgG, ii) robust SARS-CoV-2-neutralizing activity in the serum and in respiratory secretions, iii) rigorous spike-directed T helper 1 cell/cytotoxic T cell immunity, and iv) protection of wild-type mice from a challenge with the SARS-CoV-2 beta variant. Our data confirm and extend previous studies reporting promising preclinical results on vector-based intranasal SARS-CoV-2 vaccination, and support the potential of this approach to elicit mucosal immunity for preventing reinfection and transmission of SARS-CoV-2 more effectively than the currently available vaccines. Overall design: Here we report a comprehensive series of studies to explore the intranasal vaccines using various mouse models, including HLA class II-humanized transgenic strains. To improve SARS-CoV-2 vaccine efficacy, and to better address the global demand for safe and affordable vaccines against COVID-19, we have developed two human adenovirus 5-vectored vaccines, one expressing an RBD fragment (Ad5-RBD) and the other a long version of the spike protein (Ad5-S). To test the efficacy of an Ad5-vectored, codon-optimized RBD vaccine (Ad5-RBD), we performed dose testing by single treatment via the nose (intranasal, i.n.) or muscle (intramuscular, i.m.) of wildtype Balb/c and HLA-DQB1*06:02 transgenic Ab0 NOD (HLA-DQ6) mice.","adenovirus, Ad5, sarscov2, intranasal, rbd, spike, muscle",GSE223476,926503,926503_rbd,,2,NA,?,,,Yes,COVID-19 vax atlas,Viral vector,SARS-CoV-2,RBD (Ad5),?,Blood (serum),Intranasal//Intramuscular,Bulk,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Intranasal administration of adenoviral vaccines expressing SARS-CoV-2 spike protein improves vaccine immunity in mouse models,"Intranasal vaccines can prime or recruit to the respiratory epithelium mucosal immune cells capable of preventing transmission of SARS-CoV-2. We found that a single intranasal dose of serotype 5-based adenoviral vectors expressing either the receptor binding domain (Ad5-RBD) or the complete ectodomain (Ad5-S) of the SARS-CoV-2 spike protein was effective in inducing i) secretory and serum anti-spike IgA and IgG, ii) robust SARS-CoV-2-neutralizing activity in the serum and in respiratory secretions, iii) rigorous spike-directed T helper 1 cell/cytotoxic T cell immunity, and iv) protection of wild-type mice from a challenge with the SARS-CoV-2 beta variant. Our data confirm and extend previous studies reporting promising preclinical results on vector-based intranasal SARS-CoV-2 vaccination, and support the potential of this approach to elicit mucosal immunity for preventing reinfection and transmission of SARS-CoV-2 more effectively than the currently available vaccines. Overall design: Here we report a comprehensive series of studies to explore the intranasal vaccines using various mouse models, including HLA class II-humanized transgenic strains. To improve SARS-CoV-2 vaccine efficacy, and to better address the global demand for safe and affordable vaccines against COVID-19, we have developed two human adenovirus 5-vectored vaccines, one expressing an RBD fragment (Ad5-RBD) and the other a long version of the spike protein (Ad5-S). To test the efficacy of an Ad5-vectored, codon-optimized RBD vaccine (Ad5-RBD), we performed dose testing by single treatment via the nose (intranasal, i.n.) or muscle (intramuscular, i.m.) of wildtype Balb/c and HLA-DQB1*06:02 transgenic Ab0 NOD (HLA-DQ6) mice.","adenovirus, Ad5, sarscov2, intranasal, rbd, spike, muscle",GSE223476,926503,926503_spike,,2,NA,?,,,Yes,COVID-19 vax atlas,Viral vector,SARS-CoV-2,Spike (Ad5),?,Blood (serum),Intranasal//Intramuscular,Bulk,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Bulk RNA sequencing data of femur bone marrow tissue derived from mice intramuscularly injected with a SARS-CoV2 mRNA vaccine,"SARS-CoV2 mRNA vaccine-induced side effects have been extensively reported in the clinical field. However, the potential toxicity of mRNA vaccines has not been fully identified. We aimed to clarify mRNA vaccine-induced bone marrow toxicity. Six-week-old CrlOri:CD1(ICR) female mice were used. A SARS-CoV2 S protein coding nucleoside-modified mRNA vaccine candidate or D-PBS (Negative control) was intramuscularly injected at left side femoral muscle twice at 2-week intervals (100 ug/head). Mice were sacrificed at 2 days post-secondary injection, and the bulk RNA sequencing for bone marrow of left side femur was performed. Notably, the mRNA vaccine induced significant decrease of erythroid cells in bone marrow. The bone marrow suppression was mediated by the complete mRNA vaccine, but not by mRNA only or LNP only. The RNA sequencing revealed that interferon-stimulated genes (ISGs), cell death-related genes and proteolysis-related genes were significantly upregulated, while erythrocyte development-related genes, hematopoietic cell differentiation-related genes and cytoskeleton-related genes were downregulated, in the bone marrow tissue of mRNA vaccine-injected mice compared to that of only LNP-injected mice. These findings indicate that the mRNA template is mainly involved in the mRNA vaccine-induced bone marrow suppression. We confirmed that the mRNA vaccine can cause pathological changes in bone marrow tissue. Although the underlying mechanism needs to be clarified, our findings suggest that mRNA vaccine-induced bone marrow suppression should be cautiously considered in the pre-clinical developmental process. Overall design: Six-week-old CrlOri:CD1(ICR) female mice were used. A SARS-CoV2 S protein coding nucleoside-modified mRNA vaccine candidate or D-PBS (Negative control) was intramuscularly injected at left side femoral muscle twice at 2-week intervals (100 ug/head). Mice were sacrificed at 2 days post-secondary injection, and the bulk RNA sequencing for bone marrow of left side femur was performed.","sarscov2, mrna, intramuscular, bulk rnaseq, bone marrow",GSE292262,1237780,,,12,NA,NA,,,Yes,COVID-19 vax atlas,mRNA,SARS-CoV-2,Spike protein,NA,Bone marrow,intramuscular,Bulk,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Early transcriptomic response of innate immune cells  to subcutaneous BCG vaccination of mice,"Bacille Calmette-Guerin (BCG) vaccination might contribute to nonspecific enhancement of resistance to various infections. Thus, BCG in addition to the formation of specific immunity against mycobacteria is also capable of inducing “trained immunity” - the ability of the innate immune system to maintain the memory of past infections and use it to develop immune defenses against new ones. In this study, we performed RNA sequencing of innate immune cells derived from mice bone marrow and spleen three day after subcutaneous BCG vaccination to evaluate early transcriptomic response of innate immune cells Overall design: We performed RNA sequencing of innate immune cells derived from murine bone marrow and spleen three day after subcutaneous BCG vaccination. To do this, we obtained single-cell suspensions from the organs, stained the suspensions with conjugated anti-CD45, anti-CD11b, anti-NK1.1, anti-Ly6G, and anti-Ly6C antibodies, and subjected the suspen-sions to fluorescence-activated cell sorting (FACS). The prepared cell suspensions were used for FACS sorting and three cell populations were collected: monocytes [CD45+CD11b+Ly6C+], neutrophils [CD45+CD11b+Ly6G+] and NK-cells [CD45+CD11b-NK1.1+]. The samples were collected for each mouse from both control and BCG vaccinated groups. Monocytes and neutrophils were collected during sorting of bone marrow cell suspensions and NK-cells were collected from spleens. Then we have pre-pared double-indexed cDNA libraries for Illumina sequencing from the collected samples. The quality of the cDNA libraries was confirmed via Agilent Tape Station 2200 system, and the resulting cDNA library mix was subjected to NovaSeq 6000 sequencing. The RNA sequencing data was further processed with HISAT2 (GRCm38/mm10 was used as the reference genome), featureCount (GENCODE vM23, GRCm38.p6 was used as the reference transcriptome) and DESeq2 tools.","bcg, tuberculosis, lung tissue samples, dendritic cells",GSE261448,1086964,1086964_bonemarrow,,24,NA,3,Day,,Yes,,Attenuated,Tuberculosis,BCG,?,Bone marrow (monocytes and neutrophils),NA,Bulk,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Molecular characterization of hypothalamus-infiltrating T cells following Pandemrix® vaccination of Orex-HA mice through bulk RNA sequencing of T cell subsets,"To identify the T cell subsets and molecular pathways potentially involved in the killing of orexinergic neurons in Pandemrix®-vaccinated Orex-HA mice, we cell-sorted activated (CD44high CD62Llow) transferred HA-specific (CD45.1+) and endogenous (CD45.1-) CD4 and CD8 T cells from dissected hypothalami, spleen and cervical lymph nodes at the peak of hypothalamic infiltration (day 14 post-vaccination). RNA sequencing on these sorted T cell populations allowed us to compare the gene expression profile of a given T cell subset across different tissue sites and of different T cell subsets in a given tissue. Overall design: Orex-HA mice were immunized intramuscularly with Pandemrix® vaccine 1 day after the adoptive transfer of naïve (CD45.1+CD62L+CD25-) HA-specific CD4+ and CD8+ T cells. At day 14 post-vaccination, endogenous (CD45.1-) and transferred HA-specific (CD45.1+) populations of CD44highCD62LlowCD4+ and CD44highCD62LlowCD8+ T cells were isolated from spleens, cervical lymph nodes and hypothalami by FACS sorting in 4 independent experiments involving 20 to 30 mice each.   4 experiments X 3 tissues per experiment X 4 T cell populations (CD4 and CD8 both with endogenous & transferred) = 48 samples (1 samples did not sequence)…. Total of 47 samples available.","Pandemrix, bulkRNAseq, spleens, lymph nodes",GSE195600,801465,801465_hypothalami,,47,NA,14,Day,,Yes,MSigDB,Inactivated,Influenza,Pandemrix,AS03,Brain (Hypothalami),?,Bulk,Mus musculus,,FALSE,TRUE,FALSE,FALSE
B cell intrinsic TBK1 is essential for germinal center formation during infection and vaccination,"Germinal center (GC) is a site where somatic hypermutation and clonal selection are coupled for antibody affinity maturation against infections. However, how GCs are formed and regulated is incompletely understood. Here, we identified an unexpected role of Tank-binding kinase-1 (TBK1) as a crucial B-cell-intrinsic factor for GC formation. Using immunization and malaria infection models, we show that TBK1-deficient B cells failed to form GC despite normal Tfh differentiation, although some malaria-infected B-cell-specific TBK1-deficient mice could survive by GC-independent mechanisms. Mechanistically, TBK1 phosphorylation elevates in B cells during GC differentiation and regulates the balance of IRF4/BCL6 expression by limiting CD40 and BCR activation through non-canonical NF-κB and AKTT308 signaling. In the absence of TBK1, CD40 and BCR signaling synergistically enhanced IRF4 expression in Pre-GC leading to BCL6 suppression, therefore failed to form GC. As a result, memory B cells generated from TBK1-deficient B cells fail to confer sterile immunity upon re-infection, suggesting that TBK1 determines B cell fate to promote long-lasting humoral immunity. Overall design: mRNA profiles of wild-type Pre-GC B cells and Tbk1-deficient Pre-GC B cells were generated by RNA sequencing using Illumina Novaseq 6000",malaria,GSE188659,779866,,https://rupress.org/jem/article/219/2/e20211336/212912/B-cell-intrinsic-TBK1-is-essential-for-germinal,8,NA,NA,,,Partial,,NA,Malaria,,NA,Germinal center (B cells),NA,Bulk,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Immunization Induces Inflammation in the Mouse Heart during Spaceflight,"Space travel is a growing area of interest and includes initiatives such as NASA's Moon-to-Mars Mission. Studies conducted on the cardiovascular effects of space travel reveal changes in morphology, metabolism, and function. In this study, the cardiovascular response to immunization in space was studied in mice which were housed and immunized while on the International Space Station (ISS).  Mice were immunized with tetanus toxoid combined with the adjuvant CpG (TT+CpG) and the effects of vaccination in space were studied using transcriptomics. Analysis of the murine heart transcriptome was performed on ground, flight-control, and flight-immunized mice. Results showed that immunization aboard the ISS stimulates heightened inflammation in the heart via induction of the NF-κB signaling pathway. Overall design: Determine changes in differential expression of transcripts in the heart of mice immunized aboard the ISS.","tetanus toxoid, cpg, space,",GSE268421,1117072,,,3,NA,NA,,,Yes,,Toxoid,Tetanus,,CpG,Heart,NA,Bulk,Mus musculus,,FALSE,TRUE,FALSE,FALSE
A single-dose intranasal vaccination elicits systemic and mucosal immunity against SARS-CoV-2,Comparison of the NALT from two groups of mice immunized with and without a liposomally formulated adjuvant Overall design: Single-cell RNA-sequencing of harvested NALT tissues from 2 groups of immunized mice (control and treated with Trimer-STINGa) at the time of euthanasia,"sarscov2, intranasal, scRNAseq",GSE155536,650199,,,1,NA,NA,,,Yes,COVID-19 vax atlas,mRNA,SARS-CoV-2,Spike + nano STING,Liposome,Liver,Intranasal,scRNAseq,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Vaccination accelerates hepatic erythropoiesis induced by blood-stage malaria,"Increasing evidence suggests the liver as to be an effector against blood-stage malaria. Vaccination induces changes in the liver and survival of otherwise lethal blood-stage malaria of Plasmodium chabaudi which is associated with changes in the liver. Here, the time-course of expression of erythroid genes is investigated during infections with P. chabaudi in the liver of vaccination-protected and unprotected non-vaccinated mice. Overall design: Female Balb/c mice were vaccinated with a non-infectious vaccine at week 3 and week 1 before challenging with 106 P. chabaudi-parasitized erythrocytes. Gene expression microarrays and quantitative real-time PCR were used to compare mRNA expression of erythroid genes in the liver of vaccinated and non-vaccinated mice at different phases of infections on days 0, 1, 4 , 8, 11 p.i.. 30 samples were analyzed: Nd0, Non-vaccinated day 0, 3 replicates Nd1, Non-vaccinated day 1, 3 replicates Nd4, Non-vaccinated day 4, 3 replicates Nd8, Non-vaccinated day 8, 3 replicates Nd11, Non-vaccinated day 11, 3 replicates Vd0, Vaccinated day 0, 3 replicates Vd1, Vaccinated day 1, 3 replicates Vd4, Vaccinated day 4, 3 replicates Vd8, Vaccinated day 8, 3 replicates Vd11, Vaccinated day 11, 3 replicates",malaria,GSE129133,530224,,"Delic D, Wunderlich F, Al-Quraishy S, Abdel-Baki AS et al. Vaccination accelerates hepatic erythroblastosis induced by blood-stage malaria. Malar J 2020 Jan 29;19(1):49. PMID: 31996238
Araúzo-Bravo MJ, Delic D, Gerovska D, Wunderlich F. Protective Vaccination Reshapes Hepatic Response to Blood-Stage Malaria of Genes Preferentially Expressed by NK Cells. Vaccines (Basel) 2020 Nov 13;8(4). PMID: 33202767
Wunderlich F, Delic D, Gerovska D, Araúzo-Bravo MJ. Vaccination Accelerates Liver-Intrinsic Expression of Megakaryocyte-Related Genes in Response to Blood-Stage Malaria. Vaccines (Basel) 2022 Feb 14;10(2). PMID: 35214745",30,NA,0//1//4//8//11,Day,,Partial,,Infection,Malaria,Challenge in vaccinated and non-vaccinated,Freund,Liver,Subcutaneous,Microarray,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Organism-level analysis of vaccination reveals networks of protection across tissues,"To study the response of single lung and liver memory CD8+ T cells to reactivation, mice vaccinated subcutaneously with MVA (10^7 PFUs/mouse) were subsequently challenged intranasally with: (1) PBS; (2) WR (10^7 PFUs/mouse); or (3) Vaccinia virus-derived B8R20-27 peptide (20 µg/mouse). Sixteen hours after challenge, single-cell suspensions were generated from lung or liver and lymphocytes were enriched using Percoll density centrifugation prior to immunostaining and cell sorting. Single memory CD8+ T cells from lung and liver were profiled using plate-based or droplet-based single-cell RNA-seq. Overall design: Three datasets were generated from single memory CD8+ T cells isolated from lung or liver using plate-based (2,423 cells) or droplet-based (7,292) single-cell RNA-seq methods, which included: (i) 947 cells from lung of MVA-vaccinated mice challenged with PBS, WR or B8R20-27 peptide (plate-based – experiment 1); (ii) 1,476 cells from lung or liver of MVA-vaccinated mice challenged with PBS or WR (plate-based – experiment 2); and (iii) 7,292 cells from lung of MVA-vaccinated mice challenged with PBS or WR (droplet-based – experiment 3). Libraries from each experiment were sequenced as a single pool on an Illumina NextSeq500 sequencer.","MVA, modified vaccinia ankara, scRNAseq, TCD8+, lung, liver",GSE90697,355404,,,NA,NA,NA,,,Partial,,Viral vector,MVA,Peptide,NA,Liver (TCD8) ,Subcutaneous,scRNAseq,Mus musculus,,FALSE,TRUE,FALSE,FALSE
"The Effect of Calcium on Activity, Immunogenicity and Efficacy of a Recombinant N1/N2 Neuraminidase Vaccine","Despite the importance of immunity against neuraminidase (NA), NA content and immunogenicity is neglected in current influenza vaccines. To address this, a novel recombinant N1/N2 NA vaccine (NAV) was developed. Stability assays were used to determine optimal temperature and buffer conditions for vaccine storage. The effect of calcium-related enhancement of NA stability and activity on N1 and N2 immunogenicity and efficacy against viral challenge was assessed. Differences in activity between N1 and N2 and calcium-related activity enhancement did not translate into differences in immunogenicity or efficacy. NAV vaccinated mice showed robust antibody titers against N1 and N2, decreased viral titers, and decreased antiviral and inflammatory responses by transcriptomic analysis. Overall design: The host lung transcriptional response to influeuza virus infection was assessed in mock vaccinated (PBS), NAV PBS and NAV DPBS-vaccinated mice at days 3 and 6 post-viral infection. All samples were compared to mock vaccinated, mock infected (PBS) animals.","influenza, neuraminidase, lungs",GSE160010,671601,,,36,NA,3//6,Day,,Partial,NA,Subunit,Influenza,Neuraminidase,NA,Lungs,?,Microarray,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Longitudinal transcriptional profiling of CD8 cells in response to infection and vaccination across tissues,"To determine whether persistent antigen in AdNP immunized mice has any potential cell-intrinsic effects on the genetic program of lung TRM that result in their enhanced longevity, we compared the transcriptional profiles of influenza NP-specific lung TRM (CD8+ i.v. antibody- NP+ CD69+ CD103+), lung TRM that were CD69 single positive (CD8+ i.v. antibody- NP+ CD69+ CD103-) and splenic TEM (CD8+ CD62L- NP+) from mice either infected with x31 influenza or immunized with AdNP at 1-month (35 days post-infection (d.p.i.), x31 and AdNP) and 1-year (365 d.p.i., AdNP only) time points. Overall design: Transcriptional profiling of 9 experimental groups with 2 samples per group.","Influenza, adenovirus",GSE198980,817611,,,18,NA,1//1,Month//Year,,Partial,NA,Viral vector,Influenza,Ad,No,Lungs,?,Bulk,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Adenosine deaminase augments SARS-CoV-2 specific cellular and humoral responses in aged mouse models of immunization and challenge,"Aged patients suffer disproportionately increased morbidity and mortality associated with SARS-CoV-2 infection. Despite numerous clinically available vaccines and therapeutics, aged patients remain at increased risk for COVID-19 morbidity. Furthermore, the aged patient population has suboptimal responses to SARS-CoV-2 vaccine antigens. Here, we characterize vaccine-induced responses to SARS-CoV-2 synthetic DNA vaccine antigens in 18-month-old mice and interrogate protection. Aged mice have altered cellular responses, including decreased IFNγ secretion and increased TNFα secretion as compared to young mice. Aged mice had significantly decreased binding and neutralizing antibodies in their serum compared to their young counterparts. Co-immunization with the plasmid-encoded molecular adjuvant adenosine deaminase-1 (pADA) enhanced cellular responses and expanded the breadth of humoral responses in aged mice. pADA co-delivery also altered the gene expression profiles of lymph node lymphocytes in aged animals. Upon challenge pADA co-immunization modestly decreased age-associated morbidity and mortality in ACE2 transgenic and mouse-adapted SARS-CoV-2 challenge models. These data support the use of aged mice as a model for age-associated decreased vaccine immunogenicity and infection-mediated morbidity and mortality in the context of SARS-CoV-2 and provide further support of the use of adenosine deaminase as a molecular adjuvant. Overall design: single cell RNA-seq in young and aged treated and naïve mice","sarscov2, single cell, dna vaccine",GSE217200,897899,,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2023.1138609/full,6,NA,prime and boost,,,Yes,COVID-19 vax atlas,DNA,SARS-CoV-2,Spike,?,Lungs,?,scRNAseq,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Mycobacterium bovis-BCG vaccination induces a specific pulmonary transcriptome biosignature in mice,"In the present study, we applied microarray technology to define a biosignature from the whole genome expression in lung and spleen samples after BCG vaccination and M. bovis infection of BALB/c mice. The aims were two-fold, namely to define biosignatures that could predict vaccine success before challenge, and biomarker patterns that correlated with anamnestic protective responses following exposure to virulent M. bovis. Further, Our aim was to define these markers to be detectable without in vitro antigenic challenge. After BCG vaccination, we defined a specific pulmonary gene expression signature related to the connective tissue development and function network that predicted vaccine success before M. bovis challenge. In addition, a Th17-related cytokine profile was found that correlated with vaccine-induced protective immunity following infection with virulent M. bovis in the lung as well as additional genes that were up-regulated in the spleens of vaccinated animals post-infection that was related to neutrophil biology and inflammation. This study has therefore prioritized both biomarkers predicting vaccination success before challenge and bio-signatures that are associated with protective immune responses that will be useful to evaluate future vaccine candidates. Overall design: Two groups of 20 mice each were immunised by a single intradermal injection of 2 x 10 to 5 CFU of M. bovis BCG (Vaccinated), or Hanks buffered salt solution (HBSS) (Unvaccinated). Six weeks later 5 mice from each group were euthanized for immunological analyses and the remaining mice from each group were challenged with approx 600 CFU M. bovis via the intranasal route. At days 3 and 14 post challenge five mice per group were euthanized and spleens and lungs harvested.","microarray, bcg, lung, spleen",GSE21149,126627,126627_lungs,,NA,NA,6//3//14,Week//Day//Day,,Yes,,Attenuated,Tuberculosis,BCG,NA,Lungs,Intradermal,Microarray,Mus musculus,,FALSE,TRUE,FALSE,FALSE
An inactivated multivalent influenza A virus vaccine is broadly protective in mice and ferrets [mouse],"Influenza A viruses (IAVs) present major public health threats from annual seasonal epidemics and pandemics as well as from viruses adapted to a variety of animals including poultry, pigs, and horses. Vaccines that broadly protect against all such IAVs, so-called “universal” influenza vaccines, do not currently exist, but are urgently needed. Here, we demonstrated that an inactivated, multivalent whole virus vaccine, delivered intramuscularly or intranasally, was broadly protective against challenges with multiple IAV hemagglutinin and neuraminidase subtypes in both mice and ferrets. The vaccine is comprised of four beta-propiolactone-inactivated low pathogenicity avian influenza A virus subtypes of H1N9, H3N8, H5N1, or H7N3. Vaccinated mice and ferrets demonstrated substantial protection against a variety of IAVs, including the 1918 H1N1 strain, the highly pathogenic avian H5N8 strain, and H7N9. We also observed protection against challenge with antigenically variable and heterosubtypic avian, swine, and human viruses. Compared to mock vaccinated animals, vaccinated mice and ferrets demonstrated marked reductions in viral titers, lung pathology, and host inflammatory responses. This vaccine approach indicates the feasibility of eliciting broad, heterosubtypic IAV protection and identifies a promising candidate for influenza vaccine clinical development. Overall design: Lung gene expression profiles from vaccinated or non-vaccinated mice and ferrets challenged with different influenza viruses were compared to lung tissue from unvaccinated, uninfected control animals.","Influenza A, inactivated, multivalent",GSE205839,847932,847932_H1N1,,72,Not many info,3//6,Day,,Yes,MSigDB,Inactivated,Influenza,Influenza A H1N1,?,Lungs,Intramuscular//Intranasal,Microarray,Mus musculus,,FALSE,TRUE,FALSE,FALSE
An inactivated multivalent influenza A virus vaccine is broadly protective in mice and ferrets [mouse],"Influenza A viruses (IAVs) present major public health threats from annual seasonal epidemics and pandemics as well as from viruses adapted to a variety of animals including poultry, pigs, and horses. Vaccines that broadly protect against all such IAVs, so-called “universal” influenza vaccines, do not currently exist, but are urgently needed. Here, we demonstrated that an inactivated, multivalent whole virus vaccine, delivered intramuscularly or intranasally, was broadly protective against challenges with multiple IAV hemagglutinin and neuraminidase subtypes in both mice and ferrets. The vaccine is comprised of four beta-propiolactone-inactivated low pathogenicity avian influenza A virus subtypes of H1N9, H3N8, H5N1, or H7N3. Vaccinated mice and ferrets demonstrated substantial protection against a variety of IAVs, including the 1918 H1N1 strain, the highly pathogenic avian H5N8 strain, and H7N9. We also observed protection against challenge with antigenically variable and heterosubtypic avian, swine, and human viruses. Compared to mock vaccinated animals, vaccinated mice and ferrets demonstrated marked reductions in viral titers, lung pathology, and host inflammatory responses. This vaccine approach indicates the feasibility of eliciting broad, heterosubtypic IAV protection and identifies a promising candidate for influenza vaccine clinical development. Overall design: Lung gene expression profiles from vaccinated or non-vaccinated mice and ferrets challenged with different influenza viruses were compared to lung tissue from unvaccinated, uninfected control animals.","Influenza A, inactivated, multivalent",GSE205839,847932,847932_H5N8,,72,Not many info,3//6,Day,,Yes,MSigDB,Inactivated,Influenza,Influenza A H5N8,?,Lungs,Intramuscular//Intranasal,Microarray,Mus musculus,,FALSE,TRUE,FALSE,FALSE
An inactivated multivalent influenza A virus vaccine is broadly protective in mice and ferrets [mouse],"Influenza A viruses (IAVs) present major public health threats from annual seasonal epidemics and pandemics as well as from viruses adapted to a variety of animals including poultry, pigs, and horses. Vaccines that broadly protect against all such IAVs, so-called “universal” influenza vaccines, do not currently exist, but are urgently needed. Here, we demonstrated that an inactivated, multivalent whole virus vaccine, delivered intramuscularly or intranasally, was broadly protective against challenges with multiple IAV hemagglutinin and neuraminidase subtypes in both mice and ferrets. The vaccine is comprised of four beta-propiolactone-inactivated low pathogenicity avian influenza A virus subtypes of H1N9, H3N8, H5N1, or H7N3. Vaccinated mice and ferrets demonstrated substantial protection against a variety of IAVs, including the 1918 H1N1 strain, the highly pathogenic avian H5N8 strain, and H7N9. We also observed protection against challenge with antigenically variable and heterosubtypic avian, swine, and human viruses. Compared to mock vaccinated animals, vaccinated mice and ferrets demonstrated marked reductions in viral titers, lung pathology, and host inflammatory responses. This vaccine approach indicates the feasibility of eliciting broad, heterosubtypic IAV protection and identifies a promising candidate for influenza vaccine clinical development. Overall design: Lung gene expression profiles from vaccinated or non-vaccinated mice and ferrets challenged with different influenza viruses were compared to lung tissue from unvaccinated, uninfected control animals.","Influenza A, inactivated, multivalent",GSE205839,847932,847932_H7N9,,72,Not many info,3//6,Day,,Yes,MSigDB,Inactivated,Influenza,Influenza A H7N9,?,Lungs,Intramuscular//Intranasal,Microarray,Mus musculus,,FALSE,TRUE,FALSE,FALSE
