chrom	chromStart	chromEnd	name	score	value	geneAssociationMethods	color	geneHancerChrom	geneHancerStart	geneHancerEnd	geneHancerIdentifier	geneHancerStrand	geneChrom	geneStart	geneEnd	geneName	geneStrand
chr1	1127251	1232067	SDF4/GH01J001127	15	33.26	C-HiC,TF_co-expression	119,172,48	chr1	1127251	1131231	GH01J001127	.	chr1	1232066	1232067	SDF4	-
chr1	1127251	1173884	TTLL10/GH01J001127	13	27.48	eQTLs,C-HiC	0,114,189	chr1	1127251	1131231	GH01J001127	.	chr1	1173883	1173884	TTLL10	+
chr1	1131816	1173884	TTLL10/GH01J001131	12	24.99	eQTLs,C-HiC	0,114,189	chr1	1131816	1138343	GH01J001131	.	chr1	1173883	1173884	TTLL10	+
chr1	1131816	1138343	LINC01342/GH01J001131	336	823.19	eQTLs,Distance	237,177,32	chr1	1131816	1138343	GH01J001131	.	chr1	1137016	1137017	LINC01342	+
chr1	1149404	1173884	TTLL10/GH01J001149	8	16.65	eQTLs,C-HiC	0,114,189	chr1	1149404	1151211	GH01J001149	.	chr1	1173883	1173884	TTLL10	+
chr1	1156217	1471732	ATAD3B/GH01J001156	12	25.42	eQTLs,TF_co-expression	0,114,189	chr1	1156217	1160651	GH01J001156	.	chr1	1471731	1471732	ATAD3B	+
chr1	1161824	1172576	ENSG00000272141/GH01J001162	5	8.46	eQTLs,Distance	162,20,47	chr1	1161824	1172576	GH01J001162	.	chr1	1169356	1169357	ENSG00000272141	+
chr1	1172893	1174942	TTLL10/GH01J001172	355	870.05	eQTLs,Distance	0,114,189	chr1	1172893	1174942	GH01J001172	.	chr1	1173883	1173884	TTLL10	+
chr1	1196867	1471732	ATAD3B/GH01J001196	19	42.69	eQTLs,TF_co-expression	0,114,189	chr1	1196867	1204856	GH01J001196	.	chr1	1471731	1471732	ATAD3B	+
chr1	1196867	1232067	SDF4/GH01J001196	13	28.5	eQTLs,TF_co-expression	119,172,48	chr1	1196867	1204856	GH01J001196	.	chr1	1232066	1232067	SDF4	-
chr1	1196867	1206709	TNFRSF18/GH01J001196	7	14.68	eQTLs,Distance	237,177,32	chr1	1196867	1204856	GH01J001196	.	chr1	1206708	1206709	TNFRSF18	-
chr1	1204873	1421820	ANKRD65/GH01J001204	12	25.65	eQTLs,eRNA_co-expression	237,177,32	chr1	1204873	1209658	GH01J001204	.	chr1	1421819	1421820	ANKRD65	-
chr1	1204873	1214638	TNFRSF4/GH01J001204	8	15.61	eRNA_co-expression,Distance	126,47,142	chr1	1204873	1209658	GH01J001204	.	chr1	1214637	1214638	TNFRSF4	-
chr1	1204873	1209658	TNFRSF18/GH01J001204	586	1440.36	eRNA_co-expression,Distance	237,177,32	chr1	1204873	1209658	GH01J001204	.	chr1	1206708	1206709	TNFRSF18	-
chr1	1210038	1232067	SDF4/GH01J001210	7	12.86	eQTLs,Distance	119,172,48	chr1	1210038	1217195	GH01J001210	.	chr1	1232066	1232067	SDF4	-
chr1	1229548	1233094	SDF4/GH01J001229	610	1499.02	TF_co-expression,Distance	119,172,48	chr1	1229548	1233094	GH01J001229	.	chr1	1232066	1232067	SDF4	-
chr1	1229548	1233094	B3GALT6/GH01J001229	625	1537.5	eQTLs,Distance	77,190,238	chr1	1229548	1233094	GH01J001229	.	chr1	1232248	1232249	B3GALT6	+
chr1	1232066	1243534	SDF4/GH01J001235	569	1397.82	eQTLs,Distance	119,172,48	chr1	1235586	1243534	GH01J001235	.	chr1	1232066	1232067	SDF4	-
chr1	1235586	1471732	ATAD3B/GH01J001235	24	55.5	eQTLs,TF_co-expression	0,114,189	chr1	1235586	1243534	GH01J001235	.	chr1	1471731	1471732	ATAD3B	+
chr1	1269752	1275230	UBE2J2/GH01J001269	674	1656.74	TF_co-expression,Distance	217,83,25	chr1	1269752	1275230	GH01J001269	.	chr1	1273884	1273885	UBE2J2	-
chr1	1273884	2054444	UBE2J2/GH01J002045	23	53.44	eQTLs,TF_co-expression	217,83,25	chr1	2045684	2054444	GH01J002045	.	chr1	1273884	1273885	UBE2J2	-
chr1	1273884	1351401	UBE2J2/GH01J001343	29	67.55	C-HiC,TF_co-expression	217,83,25	chr1	1343366	1351401	GH01J001343	.	chr1	1273884	1273885	UBE2J2	-
chr1	1280414	1310645	SCNN1D/GH01J001303	19	43.67	eQTLs,TF_co-expression	126,47,142	chr1	1303763	1310645	GH01J001303	.	chr1	1280414	1280415	SCNN1D	+
chr1	1280414	1282764	SCNN1D/GH01J001280	287	702.46	eQTLs,Distance	126,47,142	chr1	1280712	1282764	GH01J001280	.	chr1	1280414	1280415	SCNN1D	+
chr1	1303763	1409096	ENSG00000272455/GH01J001303	14	31.83	eQTLs,TF_co-expression	0,114,189	chr1	1303763	1310645	GH01J001303	.	chr1	1409095	1409096	ENSG00000272455	+
chr1	1303763	1310645	PUSL1/GH01J001303	616	1513.99	TF_co-expression,Distance	77,190,238	chr1	1303763	1310645	GH01J001303	.	chr1	1308566	1308567	PUSL1	+
chr1	1317505	1363541	MXRA8/GH01J001317	9	19.06	eQTLs,TF_co-expression	0,114,189	chr1	1317505	1319932	GH01J001317	.	chr1	1363540	1363541	MXRA8	-
chr1	1317505	1324691	INTS11/GH01J001317	8	17.21	TF_co-expression,Distance	237,177,32	chr1	1317505	1319932	GH01J001317	.	chr1	1324690	1324691	INTS11	-
chr1	1317505	1319932	ENSG00000240731/GH01J001317	345	847.05	TF_co-expression,Distance	217,83,25	chr1	1317505	1319932	GH01J001317	.	chr1	1318688	1318689	ENSG00000240731	-
chr1	1324690	1408848	INTS11/GH01J001405	38	90.52	eQTLs,TF_co-expression	237,177,32	chr1	1405250	1408848	GH01J001405	.	chr1	1324690	1324691	INTS11	-
chr1	1324690	1372830	INTS11/GH01J001370	9	19.68	eQTLs,TF_co-expression	237,177,32	chr1	1370968	1372830	GH01J001370	.	chr1	1324690	1324691	INTS11	-
chr1	1328998	1336731	TAS1R3/GH01J001330	5	7.75	eQTLs,Distance	119,172,48	chr1	1330662	1336731	GH01J001330	.	chr1	1328998	1328999	TAS1R3	+
chr1	1330662	1471732	ATAD3B/GH01J001330	10	19.87	eQTLs,TF_co-expression	0,114,189	chr1	1330662	1336731	GH01J001330	.	chr1	1471731	1471732	ATAD3B	+
chr1	1356134	1409096	ENSG00000272455/GH01J001356	16	35.37	eQTLs,TF_co-expression	0,114,189	chr1	1356134	1362606	GH01J001356	.	chr1	1409095	1409096	ENSG00000272455	+
chr1	1356134	1399338	CCNL2/GH01J001356	19	42.91	eRNA_co-expression,TF_co-expression	126,47,142	chr1	1356134	1362606	GH01J001356	.	chr1	1399337	1399338	CCNL2	-
chr1	1356134	1363541	MXRA8/GH01J001356	667	1639.42	eRNA_co-expression,Distance	0,114,189	chr1	1356134	1362606	GH01J001356	.	chr1	1363540	1363541	MXRA8	-
chr1	1363540	1377091	MXRA8/GH01J001373	15	34.47	TF_co-expression,Distance	0,114,189	chr1	1373154	1377091	GH01J001373	.	chr1	1363540	1363541	MXRA8	-
chr1	1373154	1377091	AURKAIP1/GH01J001373	577	1417.41	eQTLs,Distance	217,83,25	chr1	1373154	1377091	GH01J001373	.	chr1	1375494	1375495	AURKAIP1	-
chr1	1397375	1471732	ATAD3B/GH01J001397	55	130.62	eQTLs,TF_co-expression	0,114,189	chr1	1397375	1402851	GH01J001397	.	chr1	1471731	1471732	ATAD3B	+
chr1	1397375	1407834	MRPL20/GH01J001397	10	21.49	eQTLs,Distance	162,20,47	chr1	1397375	1402851	GH01J001397	.	chr1	1407833	1407834	MRPL20	-
chr1	1397375	1402851	CCNL2/GH01J001397	612	1503.95	TF_co-expression,Distance	126,47,142	chr1	1397375	1402851	GH01J001397	.	chr1	1399337	1399338	CCNL2	-
chr1	1405250	1408848	MRPL20/GH01J001405	567	1393.39	eQTLs,Distance	162,20,47	chr1	1405250	1408848	GH01J001405	.	chr1	1407833	1407834	MRPL20	-
chr1	1419999	1421820	ANKRD65/GH01J001421	245	599.34	eQTLs,Distance	237,177,32	chr1	1419999	1420601	GH01J001421	.	chr1	1421819	1421820	ANKRD65	-
chr1	1420676	1471732	ATAD3B/GH01J001420	17	37.91	eQTLs,TF_co-expression	0,114,189	chr1	1420676	1423691	GH01J001420	.	chr1	1471731	1471732	ATAD3B	+
chr1	1420676	1423691	ANKRD65/GH01J001420	398	977.29	eQTLs,Distance	237,177,32	chr1	1420676	1423691	GH01J001420	.	chr1	1421819	1421820	ANKRD65	-
chr1	1421819	1436401	ANKRD65/GH01J001428	13	29.11	eQTLs,eRNA_co-expression	237,177,32	chr1	1428217	1436401	GH01J001428	.	chr1	1421819	1421820	ANKRD65	-
chr1	1421819	1426343	ANKRD65/GH01J001425	5	8.87	eQTLs,Distance	237,177,32	chr1	1425445	1426343	GH01J001425	.	chr1	1421819	1421820	ANKRD65	-
chr1	1426127	1436401	TMEM88B/GH01J001428	4	5.81	eRNA_co-expression,Distance	126,47,142	chr1	1428217	1436401	GH01J001428	.	chr1	1426127	1426128	TMEM88B	+
chr1	1428217	1436401	VWA1/GH01J001428	687	1688.19	eRNA_co-expression,Distance	77,190,238	chr1	1428217	1436401	GH01J001428	.	chr1	1434860	1434861	VWA1	+
chr1	1437590	1441301	ATAD3C/GH01J001437	12	27.07	eQTLs,Distance	162,20,47	chr1	1437590	1438733	GH01J001437	.	chr1	1441300	1441301	ATAD3C	+
chr1	1440580	1441665	ATAD3C/GH01J001440	317	776.63	eQTLs,Distance	162,20,47	chr1	1440580	1441665	GH01J001440	.	chr1	1441300	1441301	ATAD3C	+
chr1	1441300	1463028	ATAD3C/GH01J001461	395	968.86	eQTLs,Distance	162,20,47	chr1	1461617	1463028	GH01J001461	.	chr1	1441300	1441301	ATAD3C	+
chr1	1470213	1473201	ATAD3B/GH01J001470	550	1352.02	TF_co-expression,Distance	0,114,189	chr1	1470213	1473201	GH01J001470	.	chr1	1471731	1471732	ATAD3B	+
chr1	1471731	1910318	ATAD3B/GH01J001906	9	19.03	eRNA_co-expression,TF_co-expression	0,114,189	chr1	1906055	1910318	GH01J001906	.	chr1	1471731	1471732	ATAD3B	+
chr1	1471731	1513211	ATAD3B/GH01J001510	44	103.77	eQTLs,TF_co-expression	0,114,189	chr1	1510600	1513211	GH01J001510	.	chr1	1471731	1471732	ATAD3B	+
chr1	1471731	1506388	ATAD3B/GH01J001504	4	6.61	eQTLs,Distance	0,114,189	chr1	1504480	1506388	GH01J001504	.	chr1	1471731	1471732	ATAD3B	+
chr1	1573068	1576192	SSU72/GH01J001573	559	1373.42	eQTLs,Distance	119,172,48	chr1	1573068	1576192	GH01J001573	.	chr1	1574881	1574882	SSU72	-
chr1	1573068	1576192	ENSG00000215014/GH01J001573	555	1362.79	eQTLs,Distance	77,190,238	chr1	1573068	1576192	GH01J001573	.	chr1	1574974	1574975	ENSG00000215014	+
chr1	1610397	1614975	MIB2/GH01J001610	4	5.42	eQTLs,Distance	237,177,32	chr1	1610397	1612288	GH01J001610	.	chr1	1614974	1614975	MIB2	+
chr1	1613435	1745999	SLC35E2A/GH01J001613	15	32.36	eQTLs,TF_co-expression	162,20,47	chr1	1613435	1617379	GH01J001613	.	chr1	1745998	1745999	SLC35E2A	-
chr1	1613435	1724512	LOC100129381/GH01J001613	16	36.96	eQTLs,TF_co-expression	119,172,48	chr1	1613435	1617379	GH01J001613	.	chr1	1724511	1724512	LOC100129381	+
chr1	1613435	1617379	ENSG00000272106/GH01J001613	557	1368.02	eQTLs,Distance	126,47,142	chr1	1613435	1617379	GH01J001613	.	chr1	1615794	1615795	ENSG00000272106	-
chr1	1614974	1638840	MIB2/GH01J001624	8	14.97	eQTLs,Distance	237,177,32	chr1	1624487	1638840	GH01J001624	.	chr1	1614974	1614975	MIB2	+
chr1	1615794	1638840	ENSG00000272106/GH01J001624	7	12.49	eQTLs,Distance	126,47,142	chr1	1624487	1638840	GH01J001624	.	chr1	1615794	1615795	ENSG00000272106	-
chr1	1658199	1692804	SLC35E2B/GH01J001658	48	113.55	eQTLs,Distance	217,83,25	chr1	1658199	1660052	GH01J001658	.	chr1	1692803	1692804	SLC35E2B	-
chr1	1659838	1783826	CDK11B/GH01J001775	25	57.34	eRNA_co-expression,TF_co-expression	162,20,47	chr1	1775224	1783826	GH01J001775	.	chr1	1659838	1659839	CDK11B	-
chr1	1660800	1692804	SLC35E2B/GH01J001660	15	32.43	eQTLs,Distance	217,83,25	chr1	1660800	1663401	GH01J001660	.	chr1	1692803	1692804	SLC35E2B	-
chr1	1660800	1671990	LOC100288379/GH01J001660	5	9.85	eQTLs,Distance	0,114,189	chr1	1660800	1663401	GH01J001660	.	chr1	1671989	1671990	LOC100288379	+
chr1	1691599	1694001	SLC35E2B/GH01J001691	595	1461.45	TF_co-expression,Distance	217,83,25	chr1	1691599	1694001	GH01J001691	.	chr1	1692803	1692804	SLC35E2B	-
chr1	1724351	1783826	CDK11A/GH01J001775	55	130.64	eRNA_co-expression,TF_co-expression	126,47,142	chr1	1775224	1783826	GH01J001775	.	chr1	1724351	1724352	CDK11A	-
chr1	1724511	1747201	LOC100129381/GH01J001745	16	34.92	eQTLs,TF_co-expression	119,172,48	chr1	1744999	1747201	GH01J001745	.	chr1	1724511	1724512	LOC100129381	+
chr1	1744999	1747201	SLC35E2A/GH01J001745	593	1457.68	TF_co-expression,Distance	162,20,47	chr1	1744999	1747201	GH01J001745	.	chr1	1745998	1745999	SLC35E2A	-
chr1	1763639	1919301	TMEM52/GH01J001763	15	34.29	eQTLs,C-HiC	119,172,48	chr1	1763639	1765393	GH01J001763	.	chr1	1919300	1919301	TMEM52	-
chr1	1775224	1783826	NADK/GH01J001775	711	1747.18	eQTLs,eRNA_co-expression,Distance	0,114,189	chr1	1775224	1783826	GH01J001775	.	chr1	1780513	1780514	NADK	-
chr1	1880697	1885960	LOC105378949/GH01J001880	10	21.3	eQTLs,Distance	217,83,25	chr1	1880697	1882667	GH01J001880	.	chr1	1885959	1885960	LOC105378949	+
chr1	1885959	1897969	LOC105378949/GH01J001888	30	70.38	eQTLs,Distance	217,83,25	chr1	1888048	1897969	GH01J001888	.	chr1	1885959	1885960	LOC105378949	+
chr1	1888048	1913752	CALML6/GH01J001888	17	38.26	eQTLs,Distance	126,47,142	chr1	1888048	1897969	GH01J001888	.	chr1	1913751	1913752	CALML6	+
chr1	1906055	2019298	GABRD/GH01J001906	10	21.17	C-HiC,eRNA_co-expression	0,114,189	chr1	1906055	1910318	GH01J001906	.	chr1	2019297	2019298	GABRD	+
chr1	1906055	1913752	CALML6/GH01J001906	14	31.27	eQTLs,Distance	126,47,142	chr1	1906055	1910318	GH01J001906	.	chr1	1913751	1913752	CALML6	+
chr1	1913725	1921421	TMEM52/GH01J001913	599	1471.09	eQTLs,Distance	119,172,48	chr1	1913725	1921421	GH01J001913	.	chr1	1919300	1919301	TMEM52	-
chr1	1913725	1921421	CALML6/GH01J001913	14	30.84	eQTLs,Distance	126,47,142	chr1	1913725	1921421	GH01J001913	.	chr1	1913751	1913752	CALML6	+
chr1	1913751	1944650	CALML6/GH01J001942	10	20.01	eQTLs,C-HiC	126,47,142	chr1	1942470	1944650	GH01J001942	.	chr1	1913751	1913752	CALML6	+
chr1	1919300	1944650	TMEM52/GH01J001942	17	37.91	eQTLs,C-HiC	119,172,48	chr1	1942470	1944650	GH01J001942	.	chr1	1919300	1919301	TMEM52	-
chr1	2045684	2054444	PRKCZ/GH01J002045	655	1610.8	eQTLs,eRNA_co-expression,Distance	126,47,142	chr1	2045684	2054444	GH01J002045	.	chr1	2050469	2050470	PRKCZ	+
chr1	2050469	2116462	PRKCZ/GH01J002115	3	2.62	eQTLs,Distance	126,47,142	chr1	2115495	2116462	GH01J002115	.	chr1	2050469	2050470	PRKCZ	+
chr1	2050469	2113241	PRKCZ/GH01J002112	3	2.48	eQTLs,Distance	126,47,142	chr1	2112044	2113241	GH01J002112	.	chr1	2050469	2050470	PRKCZ	+
chr1	2050469	2073970	PRKCZ/GH01J002069	312	765.02	eQTLs,Distance	126,47,142	chr1	2069623	2073970	GH01J002069	.	chr1	2050469	2050470	PRKCZ	+
chr1	2131985	2228695	SKI/GH01J002131	13	29.25	eQTLs,C-HiC	126,47,142	chr1	2131985	2141131	GH01J002131	.	chr1	2228694	2228695	SKI	+
chr1	2131985	2145279	ENSG00000271806/GH01J002131	8	14.85	eQTLs,Distance	119,172,48	chr1	2131985	2141131	GH01J002131	.	chr1	2145278	2145279	ENSG00000271806	-
chr1	2173430	2391314	RER1/GH01J002173	10	21.91	C-HiC,TF_co-expression	0,114,189	chr1	2173430	2175279	GH01J002173	.	chr1	2391313	2391314	RER1	+
chr1	2184388	2196541	PRKCZ-AS1/GH01J002191	11	24.36	eQTLs,Distance	77,190,238	chr1	2191775	2196541	GH01J002191	.	chr1	2184388	2184389	PRKCZ-AS1	-
chr1	2184388	2191465	PRKCZ-AS1/GH01J002188	11	22.82	eQTLs,Distance	77,190,238	chr1	2188838	2191465	GH01J002188	.	chr1	2184388	2184389	PRKCZ-AS1	-
chr1	2188838	2212720	FAAP20/GH01J002188	8	17.22	eQTLs,Distance	217,83,25	chr1	2188838	2191465	GH01J002188	.	chr1	2212719	2212720	FAAP20	-
chr1	2191775	2212720	FAAP20/GH01J002191	653	1605.39	eQTLs,Distance	217,83,25	chr1	2191775	2196541	GH01J002191	.	chr1	2212719	2212720	FAAP20	-
chr1	2203162	2391751	MORN1/GH01J002203	17	37.26	C-HiC,TF_co-expression	217,83,25	chr1	2203162	2210909	GH01J002203	.	chr1	2391750	2391751	MORN1	-
chr1	2203162	2212720	FAAP20/GH01J002203	11	22.52	eQTLs,eRNA_co-expression,Distance	217,83,25	chr1	2203162	2210909	GH01J002203	.	chr1	2212719	2212720	FAAP20	-
chr1	2211883	2215712	FAAP20/GH01J002211	450	1104.35	eQTLs,Distance	217,83,25	chr1	2211883	2215712	GH01J002211	.	chr1	2212719	2212720	FAAP20	-
chr1	2226395	2236292	SKI/GH01J002226	706	1735.58	eRNA_co-expression,Distance	126,47,142	chr1	2226395	2236292	GH01J002226	.	chr1	2228694	2228695	SKI	+
chr1	2228694	2319866	SKI/GH01J002309	10	21.96	C-HiC,eRNA_co-expression,Distance	126,47,142	chr1	2309443	2319866	GH01J002309	.	chr1	2228694	2228695	SKI	+
chr1	2228694	2305857	SKI/GH01J002304	5	9.12	C-HiC,Distance	126,47,142	chr1	2304551	2305857	GH01J002304	.	chr1	2228694	2228695	SKI	+
chr1	2228694	2302951	SKI/GH01J002298	15	33.45	C-HiC,eRNA_co-expression,Distance	126,47,142	chr1	2298666	2302951	GH01J002298	.	chr1	2228694	2228695	SKI	+
chr1	2228694	2293482	SKI/GH01J002288	6	10.11	eRNA_co-expression,Distance	126,47,142	chr1	2288571	2293482	GH01J002288	.	chr1	2228694	2228695	SKI	+
chr1	2228694	2280511	SKI/GH01J002273	7	14.57	C-HiC,Distance	126,47,142	chr1	2272857	2280511	GH01J002273	.	chr1	2228694	2228695	SKI	+
chr1	2228694	2272601	SKI/GH01J002272	6	10.6	C-HiC,Distance	126,47,142	chr1	2271999	2272601	GH01J002272	.	chr1	2228694	2228695	SKI	+
chr1	2228694	2271967	SKI/GH01J002270	7	14.62	C-HiC,Distance	126,47,142	chr1	2269999	2271967	GH01J002270	.	chr1	2228694	2228695	SKI	+
chr1	2228694	2259591	SKI/GH01J002253	5	9.18	eRNA_co-expression,Distance	126,47,142	chr1	2253191	2259591	GH01J002253	.	chr1	2228694	2228695	SKI	+
chr1	2228694	2252422	SKI/GH01J002245	5	8.52	eRNA_co-expression,Distance	126,47,142	chr1	2245800	2252422	GH01J002245	.	chr1	2228694	2228695	SKI	+
chr1	2228694	2241010	SKI/GH01J002239	4	5.64	eRNA_co-expression,Distance	126,47,142	chr1	2239685	2241010	GH01J002239	.	chr1	2228694	2228695	SKI	+
chr1	2389859	2396389	RER1/GH01J002389	607	1490.97	TF_co-expression,Distance	0,114,189	chr1	2389859	2396389	GH01J002389	.	chr1	2391313	2391314	RER1	+
chr1	2389859	2396389	MORN1/GH01J002389	604	1484.54	TF_co-expression,Distance	217,83,25	chr1	2389859	2396389	GH01J002389	.	chr1	2391750	2391751	MORN1	-
chr1	2391313	2407882	RER1/GH01J002403	4	5.78	eQTLs,Distance	0,114,189	chr1	2403815	2407882	GH01J002403	.	chr1	2391313	2391314	RER1	+
chr1	2403815	2413797	PEX10/GH01J002403	5	8.57	eQTLs,Distance	237,177,32	chr1	2403815	2407882	GH01J002403	.	chr1	2413796	2413797	PEX10	-
chr1	2411554	2417307	PLCH2/GH01J002411	664	1631.55	eQTLs,Distance	126,47,142	chr1	2411554	2417307	GH01J002411	.	chr1	2415781	2415782	PLCH2	+
chr1	2411554	2417307	PEX10/GH01J002411	650	1598.49	eQTLs,Distance	237,177,32	chr1	2411554	2417307	GH01J002411	.	chr1	2413796	2413797	PEX10	-
chr1	2415781	2478551	PLCH2/GH01J002477	3	4.49	eQTLs,Distance	126,47,142	chr1	2477592	2478551	GH01J002477	.	chr1	2415781	2415782	PLCH2	+
chr1	2415781	2475442	PLCH2/GH01J002475	2	1.47	eRNA_co-expression,Distance	126,47,142	chr1	2475049	2475442	GH01J002475	.	chr1	2415781	2415782	PLCH2	+
chr1	2415781	2431153	PLCH2/GH01J002430	4	5.72	eQTLs,Distance	126,47,142	chr1	2430100	2431153	GH01J002430	.	chr1	2415781	2415782	PLCH2	+
chr1	2522843	2530166	PANK4/GH01J002522	590	1449.09	eQTLs,Distance	162,20,47	chr1	2522843	2530166	GH01J002522	.	chr1	2526627	2526628	PANK4	-
chr1	2522843	2530166	ENSG00000272449/GH01J002522	7	13.67	eQTLs,Distance	0,114,189	chr1	2522843	2530166	GH01J002522	.	chr1	2530063	2530064	ENSG00000272449	+
